Player,height,weight,collage,born,birth_city,birth_state
Ian Lockhart,203,108,University of Tennessee,1967,Nassau,Bahamas
Ian Clark,190,79,Belmont University,1991,Memphis,Tennessee
Hutch Jones,203,86,Vanderbilt University,1959,Buffalo,New York
Hubie White,193,92,Villanova University,1940,,
Hubert Davis,196,83,University of North Carolina,1970,Winston-Salem,North Carolina
Hub Reed,206,97,Oklahoma City University,1936,Harrah,Oklahoma
Howie Shannon,188,79,Kansas State University,1923,Manhattan,Kansas
Howie Schultz,198,90,Hamline University,1922,St. Paul,Minnesota
Howie Montgomery,196,99,University of Texas-Pan American,1940,,
Howie Jolliff,203,97,,1938,,
Howie Janotta,190,83,Seton Hall University,1924,,
Howie Carl,175,72,DePaul University,1938,Chicago,Illinois
Howard Wright,190,83,Austin Peay State University,1947,Louisville,Kentucky
Howard Wood,201,106,University of Tennessee,1959,Southhampton,New York
Howard Porter,203,99,Villanova University,1948,Stuart,Florida
Howard Nathan,180,79,University of Louisiana at Monroe,1972,Peoria,Illinois
Howard Komives,185,83,Bowling Green State University,1941,Toledo,Ohio
Howard Eisley,188,80,Boston College,1972,Detroit,Michigan
Howard Carter,196,97,Louisiana State University,1961,Baton Rouge,Louisiana
Hot Rod,193,83,,1935,,
Horacio Llamas,211,129,Grand Canyon University,1973,El Rosario,Mexico
Horace Walker,190,95,Michigan State University,1937,Chester,Pennsylvania
Horace Jenkins,185,81,William Paterson University,1974,Elizabeth,New Jersey
Horace Grant,208,97,Clemson University,1965,Augusta,Georgia
Hoot Gibson,196,89,Creighton University,1921,,
Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia
Hollis Thompson,203,93,Georgetown University,1991,Pasadena,California
Hollis Copeland,198,81,Rutgers University,1955,Trenton,New Jersey
Hiram Fuller,206,108,"California State University, Fresno",1981,East St. Louis,Missouri
Hilton Armstrong,211,106,University of Connecticut,1984,Peekskill,New York
Hersey Hawkins,190,86,Bradley University,1966,Chicago,Illinois
Herm Schaefer,183,79,Indiana University,1918,Fort Wayne,Indiana
Herm Hedderick,196,77,Canisius College,1930,Erie,Pennsylvania
Herm Gilliam,190,86,Purdue University,1946,Winston-Salem,North Carolina
Herb Williams,208,109,Ohio State University,1958,Columbus,Ohio
Herb White,188,88,University of Georgia,1948,,
Herb Scherer,206,96,Long Island University,1928,,
Henry Ward,193,88,Jackson State University,1952,Jackson,Mississippi
Henry Walker,196,83,,1984,,
Henry Turner,188,88,University of Nebraska,1938,,
Henry Sims,208,112,Georgetown University,1990,Baltimore,Maryland
Henry James,203,99,St. Mary's University,1965,Centreville,Alabama
Henry Ellenson,211,111,Marquette University,1997,Rice Lake,Wisconsin
Henry Dickerson,193,86,University of Charleston,1951,Berkley,West Virginia
Henry Bibby,185,83,"University of California, Los Angeles",1949,Franklinton,North Carolina
Henry Akin,208,102,Morehead State University,1944,Detroit,Michigan
Hedo Turkoglu,208,99,,1979,Istanbul,Turkey
Haywoode Workman,188,81,Oral Roberts University,1966,Charlotte,North Carolina
Hawkeye Whitney,201,104,Iowa State University,1939,Brooklyn,New York
Hassan Whiteside,213,120,Marshall University,1989,Gastonia,North Carolina
Hassan Adams,193,99,University of Arizona,1984,Inglewood,California
Hasheem Thabeet,221,119,University of Connecticut,1987,Dar es Salaam,United Republic of Tanzania
Harvey Marlatt,190,83,Eastern Michigan University,1948,,
Harvey Grant,203,88,University of Oklahoma,1965,Augusta,Georgia
Harvey Catchings,206,98,Hardin-Simmons University,1951,Jackson,Mississippi
Harthorne Wingo,198,95,Friendship Junior College,1947,Tryon,North Carolina
Harry Gallatin*,198,95,Truman State University,1927,Roxana,Illinois
Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey
Harry Davis,201,99,Florida State University,1956,Cleveland,Ohio
Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York
Harry Barnes,190,92,Northeastern University,1945,,
Harrison Barnes,190,92,Northeastern University,1945,,
Harold Pressley,201,95,Villanova University,1963,Bronx,New York
Harold Miner,196,95,University of Southern California,1971,Inglewood,California
Harold Keeling,193,83,Santa Clara University,1963,New Orleans,Louisiana
Harold Jamison,203,117,Clemson University,1976,Orangeburg,South Carolina
Harold Fox,188,79,Jacksonville University,1949,,
Harold Ellis,196,90,Morehouse College,1970,Atlanta,Georgia
Happy Hairston,201,102,New York University,1942,Winston-Salem,North Carolina
Hanno Mottola,211,112,University of Utah,1976,Helsinki,Finland
Hank McDowell,206,97,University of Memphis,1959,Memphis,Tennessee
Hank Finkel,213,108,University of Dayton,1942,Union City,New Jersey
Hank DeZonie,198,97,Clark Atlanta University,1922,,
Hamed Haddadi,218,115,,1985,Ahvaz,Islamic Republic of Iran
Hamady N'Diaye,213,106,Rutgers University,1987,Dakar,Senegal
Hal Uplinger,193,83,Long Island University,1929,,
Hal Lear,183,73,Temple University,1935,Philadelphia,Pennsylvania
Hal Greer*,188,79,Marshall University,1936,Huntington,West Virginia
Hakim Warrick,206,99,Syracuse University,1982,Philadelphia,Pennsylvania
Hakeem Olajuwon*,213,115,University of Houston,1963,Lagos,Nigeria
Ha Seung-Jin,221,138,,1985,Seoul,Republic of Korea
Guy Williams,188,79,University of Southern California,1953,Mount Vernon,New York
Guy Sparrow,198,98,University of Detroit Mercy,1932,Pontiac,Michigan
Guy Rucker,211,120,University of Iowa,1977,Inkster,Michigan
Guy Rodgers*,183,83,Temple University,1935,Philadelphia,Pennsylvania
Guy Morgan,203,92,Wake Forest University,1960,Virginia Beach,Virginia
Gustavo Ayon,208,113,,1985,Tepic,Mexico
Gus Williams,188,79,University of Southern California,1953,Mount Vernon,New York
Gus Johnson*,198,104,University of Idaho,1938,Akron,Ohio
Gus Gerard,203,90,University of Virginia,1953,Uniontown,Pennsylvania
Gus Bailey,196,83,University of Texas at El Paso,1951,Gibson,North Carolina
Gundars Vetra,198,88,,1967,Ventspils,Latvia
Guillermo Diaz,188,87,University of Miami,1985,San Juan,Puerto Rico
Greivis Vasquez,198,98,University of Maryland,1987,Caracas,Venezuela
Greg Sutton,188,77,Oral Roberts University,1967,Santa Cruz,California
Greg Stokes,208,99,University of Iowa,1963,New Haven,Connecticut
Greg Stiemsma,211,117,University of Wisconsin,1985,Randolph,Wisconsin
Greg Smith,196,88,Western Kentucky University,1947,Princeton,Kentucky
Greg Ostertag,218,127,University of Kansas,1973,Dallas,Texas
Greg Oden,213,113,Ohio State University,1988,Buffalo,New York
Greg Monroe,211,120,Georgetown University,1990,New Orleans,Louisiana
Greg Minor,198,95,University of Louisville,1971,Sandersville,Georgia
Greg Lee,190,86,"University of California, Los Angeles",1951,Reseda,California
Greg Kite,211,113,Brigham Young University,1961,Houston,Texas
Greg Kelser,201,86,Michigan State University,1957,Panama City,Florida
Greg Jackson,183,81,Guilford College,1952,Brooklyn,New York
Greg Hyder,198,97,Eastern New Mexico University,1948,,
Greg Howard,206,97,University of New Mexico,1948,Pittsburgh,Pennsylvania
Greg Griffin,201,86,Idaho State University,1952,Cleveland,Ohio
Greg Grant,170,63,Trenton State University,1966,Trenton,New Jersey
Greg Graham,193,78,Indiana University,1970,Indianapolis,Indiana
Greg Foster,211,108,University of Texas at El Paso,1968,Oakland,California
Greg Fillmore,216,108,Cheyney University of Pennsylvania,1947,Philadelphia,Pennsylvania
Greg Dreiling,216,113,University of Kansas,1962,Wichita,Kansas
Greg Deane,193,86,University of Utah,1957,Tulare,California
Greg Butler,211,108,Stanford University,1966,Inglewood,California
Greg Bunch,198,86,"California State University, Fullerton",1956,San Bernardino,California
Greg Buckner,193,95,Clemson University,1976,Hopkinsville,Kentucky
Greg Ballard,201,97,University of Oregon,1955,Los Angeles,California
Greg Anthony,183,79,"University of Nevada, Las Vegas",1967,Las Vegas,Nevada
Greg Anderson,208,104,University of Houston,1964,Houston,Texas
Granville Waiters,211,102,Ohio State University,1961,Columbus,Ohio
Grant Long,203,102,Eastern Michigan University,1966,Wayne,Michigan
Grant Jerrett,208,106,University of Arizona,1993,Costa Mesa,California
Grant Hill,203,102,Duke University,1972,Dallas,Texas
Grant Gondrezick,196,92,Pepperdine University,1963,Boulder,Colorado
Grady O'Malley,196,92,Manhattan College,1948,Boston,Massachusetts
Gorgui Dieng,211,109,University of Louisville,1990,Kebemer,Senegal
Gordon Hayward,203,102,Butler University,1990,Indianapolis,Indiana
Gordan Giricek,198,95,,1977,Zagreb,Croatia
Goran Dragic,190,86,,1986,Ljubljana,Slovenia
Goo Kennedy,196,92,Texas Christian University,1949,Charlotte,North Carolina
God Shammgod,183,76,Providence College,1976,New York,New York
Glenn Robinson,201,102,Purdue University,1973,Gary,Indiana
Glenn Mosley,203,88,Seton Hall University,1955,Newark,New Jersey
Glenn McDonald,198,86,"California State University, Long Beach",1952,Kewanee,Illinois
Glenn Hansen,193,92,Louisiana State University,1952,Devils Lake,North Dakota
Glenn Hagan,183,77,St. Bonaventure University,1955,Sanford,Florida
Glen Selbo,190,88,University of Wisconsin,1926,,
Glen Rice,201,97,University of Michigan,1967,Jacksonville,Arkansas
Glen Gondrezick,198,98,"University of Nevada, Las Vegas",1955,Boulder,Colorado
Glen Davis,206,131,Louisiana State University,1986,Baton Rouge,Louisiana
Gilbert Arenas,190,86,University of Arizona,1982,Los Angeles,California
Gil McGregor,203,108,Wake Forest University,1949,,
Giannis Antetokounmpo,211,100,,1994,Athens,Greece
Gheorghe Muresan,231,137,,1971,Triteni,Romania
Gerry Ward,193,88,Boston College,1941,,
Gerry Calabrese,185,79,St. John's University,1925,Hoboken,New Jersey
Gerard King,183,79,University of Charleston,1928,Charleston,West Virginia
Gerald Wilkins,198,83,University of Tennessee at Chattanooga,1963,Atlanta,Georgia
Gerald Wallace,201,97,University of Alabama,1982,Sylacauga,Alabama
Gerald Paddio,201,92,"University of Nevada, Las Vegas",1965,Lafayette,Louisiana
Gerald Madkins,193,90,"University of California, Los Angeles",1969,Merced,California
Gerald Henderson,188,79,Virginia Commonwealth University,1956,Richmond,Virginia
Gerald Green,201,92,,1986,Houston,Texas
Gerald Glass,196,100,University of Mississippi,1967,Greenwood,Mississippi
Gerald Fitch,190,85,University of Kentucky,1982,Columbus,Georgia
Gerald Brown,198,86,Wayne State University,1935,,
Georgios Papagiannis,216,108,,1997,Amarousio,Greece
Georgi Glouchkov,203,106,,1960,Triavna,Bulgaria
Georges Niang,203,104,Iowa State University,1993,Lawrence,Massachusetts
George Zidek,213,113,"University of California, Los Angeles",1973,Zlin,Czech Republic
George Yardley*,196,86,Stanford University,1928,Hollywood,California
George Wilson,203,102,University of Cincinnati,1942,Meridian,Mississippi
George Trapp,203,92,"California State University, Long Beach",1948,Detroit,Michigan
George Thompson,188,90,Marquette University,1947,Brooklyn,New York
George Senesky,188,81,Saint Joseph's University,1922,Mahanoy City,Pennsylvania
George Reynolds,193,88,University of Houston,1947,,
George Ratkovicz,198,99,,1922,Chicago,Illinois
George Patterson,203,104,University of Toledo,1939,,
George Nostrand,203,88,University of Wyoming,1924,Uniondale,New York
George Mikan*,208,111,DePaul University,1924,Joliet,Illinois
George McLeod,196,90,Texas Christian University,1931,,
George McGinnis,203,106,Indiana University,1950,Indianapolis,Indiana
George McCloud,198,92,Florida State University,1967,Daytona Beach,Florida
George Lynch,203,98,University of North Carolina,1970,Roanoke,Virginia
George Lehmann,183,81,Campbell University,1942,Riverside,New Jersey
George Lee,193,90,University of Michigan,1936,,
George King,183,79,University of Charleston,1928,Charleston,West Virginia
George Karl,190,83,University of North Carolina,1952,Penn Hills,Pennsylvania
George Kaftan,190,86,College of the Holy Cross,1928,New York,New York
George Johnson,211,111,Stephen F. Austin State University,1947,Herleton,Texas
George Hill,190,85,Indiana University-Purdue University Indianapolis,1986,Indianapolis,Indiana
George Gervin*,201,81,Eastern Michigan University,1952,Detroit,Michigan
George Feigenbaum,185,83,University of Kentucky,1929,,
George Dempsey,188,86,King's College,1929,Philadelphia,Pennsylvania
George Carter,193,95,St. Bonaventure University,1944,Buffalo,New York
George Brown,198,86,Wayne State University,1935,,
George Bon,185,79,,1939,,
George Blaney,185,79,College of the Holy Cross,1939,Jersey City,New Jersey
Geoff Petrie,193,86,Princeton University,1948,Darby,Pennsylvania
Geoff Huston,188,79,Texas Tech University,1957,Brooklyn,New York
Geoff Crompton,211,127,University of North Carolina,1955,Burlington,North Carolina
Geno Carlisle,190,81,University of California,1976,Grand Rapids,Michigan
Gene Wiley,208,95,Wichita State University,1937,,
Gene Vance,190,88,University of Illinois at Urbana-Champaign,1923,,
Gene Tormohlen,183,83,,1940,,
Gene Stump,188,83,DePaul University,1923,,
Gene Shue,188,77,University of Maryland,1931,Baltimore,Maryland
Gene Short,198,90,Jackson State University,1953,Macon,Mississippi
Gene Rhodes,185,77,Western Kentucky University,1927,,
Gene Ollrich,180,72,Drake University,1922,Whiting,Indiana
Gene James,193,81,Marshall University,1925,Ironton,Ohio
Gene Guarilia,196,99,George Washington University,1937,Duryea,Pennsylvania
Gene Englund,196,92,University of Wisconsin,1917,Kenosha,Wisconsin
Gene Dyker,198,102,DePaul University,1930,,
Gene Conley,203,102,Washington State University,1930,Muskogee,Oklahoma
Gene Berce,180,79,Marquette University,1926,,
Gene Banks,201,97,Duke University,1959,Philadelphia,Pennsylvania
Geert Hammink,213,118,Louisiana State University,1969,Didam,Netherlands
Gaylon Nickerson,190,86,Northwestern Oklahoma State University,1969,Osecola,Arkansas
Gary Zeller,190,92,Drake University,1947,,
Gary Voce,206,108,University of Notre Dame,1965,Jamaica,
Gary Trent,203,113,Ohio University,1974,Columbus,Ohio
Gary Suiter,206,102,Midwestern State University,1945,,
Gary Plummer,206,97,Boston University,1962,Highland Park,Michigan
Gary Phillips,190,85,University of Houston,1939,Quincy,Illinois
Gary Payton*,193,81,Oregon State University,1968,Oakland,California
Gary Payton,193,81,Oregon State University,1968,Oakland,California
Gary Neal,193,95,Towson University,1984,Baltimore,Maryland
Gary Melchionni,188,83,Duke University,1951,Camden,New Jersey
Gary Leonard,216,113,University of Missouri,1967,Belleville,Illinois
Gary Hill,193,83,Oklahoma City University,1941,,
Gary Harris,193,95,Michigan State University,1994,Fishers,Indiana
Gary Gregor,201,102,University of South Carolina,1945,Charlestown,West Virginia
Gary Gray,185,83,Oklahoma City University,1945,,
Gary Grant,190,83,University of Michigan,1965,Canton,Ohio
Gary Garland,193,81,DePaul University,1957,East Orange,New Jersey
Gary Freeman,206,95,Oregon State University,1948,,
Gary Forbes,201,99,University of Massachusetts Amherst,1985,Colon,Panama
Gary Brokaw,193,80,University of Notre Dame,1954,New Brunswick,New Jersey
Gary Bradds,203,95,Ohio State University,1942,Jamestown,Ohio
Gary Bergen,203,95,University of Utah,1932,Independence,Missouri
Gary Alexander,201,108,University of South Florida,1969,Jacksonville,Florida
Gary Alcorn,206,102,"California State University, Fresno",1936,,
Garth Joseph,218,142,College of Saint Rose,1973,Roseau,Dominica
Garry Witts,201,86,College of the Holy Cross,1959,Elizabeth,New Jersey
Garrett Temple,198,88,Louisiana State University,1986,Baton Rouge,Louisiana
Garret Siler,211,138,Augusta State University,1986,Augusta,Georgia
Garfield Smith,206,106,Eastern Kentucky University,1945,Campbellsville,Kentucky
Gar Heard,198,99,University of Oklahoma,1948,Hogansville,Georgia
Gani Lawal,206,106,Georgia Institute of Technology,1988,College Park,Georgia
Gal Mekel,190,86,Wichita State University,1988,Petah Tikva,Israel
Gail Goodrich*,185,77,"University of California, Los Angeles",1943,Los Angeles,California
Gabe Pruitt,193,77,University of Southern California,1986,Los Angeles,California
Furkan Aldemir,208,108,,1991,Konak,Turkey
Freeman Williams,193,86,Portland State University,1956,Los Angeles,California
Freddie Lewis,188,88,Eastern Kentucky University,1921,Brooklyn,New York
Freddie Crawford,193,85,St. Bonaventure University,1941,New York,New York
Freddie Boyd,188,81,Oregon State University,1950,Bakersfield,California
Fred Vinson,193,86,Georgia Institute of Technology,1971,Murfreesboro,North Carolina
